region_name,latitude,longitude,year,employee_count,housing_starts,housing_completions,starts_per_worker,avg_annual_salary_gbp,avg_day_rate_low,avg_day_rate_high,avg_day_rate_mid,prev_year_starts,starts_yoy_pct,employment_yoy_pct
North East,54.890,-1.680,2022,29000,9120,8590,0.31,38000,200,270,235,9270,-1.6,-14.7
North East,54.890,-1.680,2023,34000,7700,7980,0.23,38000,200,270,235,9120,-15.6,17.2
North East,54.890,-1.680,2024,34000,7340,7920,0.22,38000,200,270,235,7700,-4.7,0
North West,53.590,-2.590,2018,85000,22420,20210,0.26,41401,200,280,240,,,
North West,53.590,-2.590,2019,77000,19420,21380,0.25,41401,200,280,240,22420,-13.4,-9.4
North West,53.590,-2.590,2020,64000,16670,19970,0.26,41401,200,280,240,19420,-14.2,-16.9
North West,53.590,-2.590,2021,84000,19240,22860,0.23,41401,200,280,240,16670,15.4,31.3
North West,53.590,-2.590,2022,91000,19430,19170,0.21,41401,200,280,240,19240,1,8.3
North West,53.590,-2.590,2023,99000,17340,18810,0.18,41401,200,280,240,19430,-10.8,8.8
North West,53.590,-2.590,2024,110000,12920,19390,0.12,41401,200,280,240,17340,-25.5,11.1
South East,51.210,-0.760,2018,110000,31320,32010,0.28,42431,250,400,325,,,
South East,51.210,-0.760,2019,116000,27610,32520,0.24,42431,250,400,325,31320,-11.8,5.5
South East,51.210,-0.760,2020,128000,25010,27140,0.2,42431,250,400,325,27610,-9.4,10.3
South East,51.210,-0.760,2021,140000,31770,31460,0.23,42431,250,400,325,25010,27,9.4
South East,51.210,-0.760,2022,120000,30490,30960,0.25,42431,250,400,325,31770,-4,-14.3
South East,51.210,-0.760,2023,109000,23200,26730,0.21,42431,250,400,325,30490,-23.9,-9.2
South East,51.210,-0.760,2024,135000,23100,24610,0.17,42431,250,400,325,23200,-0.4,23.9
South West,50.720,-3.650,2018,60000,18830,20300,0.31,34942,200,280,240,,,
South West,50.720,-3.650,2019,75000,17020,19900,0.23,34942,200,280,240,18830,-9.6,25
South West,50.720,-3.650,2020,75000,17010,16560,0.23,34942,200,280,240,17020,-0.1,0
South West,50.720,-3.650,2021,72000,19880,19430,0.28,34942,200,280,240,17010,16.9,-4
South West,50.720,-3.650,2022,77000,20430,20430,0.27,34942,200,280,240,19880,2.8,6.9
South West,50.720,-3.650,2023,91000,14780,17830,0.16,34942,200,280,240,20430,-27.7,18.2
South West,50.720,-3.650,2024,67000,13690,16320,0.2,34942,200,280,240,14780,-7.4,-26.4
West Midlands,52.480,-1.960,2018,77000,17200,16760,0.22,39921,200,300,250,,,
West Midlands,52.480,-1.960,2019,72000,15700,16790,0.22,39921,200,300,250,17200,-8.7,-6.5
West Midlands,52.480,-1.960,2020,58000,14410,15150,0.25,39921,200,300,250,15700,-8.2,-19.4
West Midlands,52.480,-1.960,2021,55000,16170,17380,0.29,39921,200,300,250,14410,12.2,-5.2
West Midlands,52.480,-1.960,2022,59000,15700,16290,0.27,39921,200,300,250,16170,-2.9,7.3
West Midlands,52.480,-1.960,2023,66000,11660,14340,0.18,39921,200,300,250,15700,-25.7,11.9
West Midlands,52.480,-1.960,2024,59000,10090,12580,0.17,39921,200,300,250,11660,-13.5,-10.6
Yorkshire and The Humber,53.820,-1.460,2018,62000,14360,13970,0.23,41620,200,280,240,,,
Yorkshire and The Humber,53.820,-1.460,2019,76000,12020,14370,0.16,41620,200,280,240,14360,-16.3,22.6
Yorkshire and The Humber,53.820,-1.460,2020,74000,11930,13390,0.16,41620,200,280,240,12020,-0.7,-2.6
Yorkshire and The Humber,53.820,-1.460,2021,57000,14780,13350,0.26,41620,200,280,240,11930,23.9,-23
Yorkshire and The Humber,53.820,-1.460,2022,77000,12790,13980,0.17,41620,200,280,240,14780,-13.5,35.1
Yorkshire and The Humber,53.820,-1.460,2023,63000,10320,14010,0.16,41620,200,280,240,12790,-19.3,-18.2
Yorkshire and The Humber,53.820,-1.460,2024,83000,9420,11400,0.11,41620,200,280,240,10320,-8.7,31.7
